dataset_id,base_dataset_id,severity,lipid_name,X_hat,rho_zero,rho_zero_status,raw_solver_reported,candidate_truth,molecular_truth,reportable_truth,cone_isolation,max_fragment_cosine,max_full_cosine,lipid_class,collective_gain,pair_id,unit_id,role,spectral_score_CAL,spectral_score_HOLD,joint_hard_score,joint_easy_score,fragment_cosine,fragment_support_jaccard,full_cosine,parent_cosine,base_template_id,realized_spatial_correlation,abundance_multiplier,K,replicate,split,candidate_indices,X_hat_definition
MODERATE__HOLD_R2_K125,HOLD_R2_K125,MODERATE,PA 16:0_24:0,0.004276843745022553,2.0928234407781942e-05,COMPUTED,True,False,False,False,0.729606198131629,0.7748217721703936,0.44170172724713597,PA,0.16755576280234685,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,R2,HOLD,[0],sum reported candidates for primary score; all candidates for unreported descriptive abundance
MODERATE__HOLD_R2_K125,HOLD_R2_K125,MODERATE,PA 16:0_24:1,0.018369953803123305,6.56031146331972e-05,COMPUTED,True,True,True,True,0.5504804076642431,0.883487638633687,0.6654546118919494,PA,0.19595790828137805,,28,singleton_control,,,,,,,,,260,,2.0,125,R2,HOLD,[1],sum reported candidates for primary score; all candidates for unreported descriptive abundance
MODERATE__HOLD_R2_K125,HOLD_R2_K125,MODERATE,PA 16:0_24:4,0.0027967252176528115,0.0,COMPUTED,True,False,False,False,0.2223063465458067,0.9171280506076233,0.9158818256178151,PA,0.17914163452145218,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,R2,HOLD,[2],sum reported candidates for primary score; all candidates for unreported descriptive abundance
MODERATE__HOLD_R2_K125,HOLD_R2_K125,MODERATE,PA 16:0_24:5,0.0019938200350431944,0.0,COMPUTED,True,False,False,False,0.22923411741411742,0.9171280506076233,0.9158818256178151,PA,0.17221386365314145,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,R2,HOLD,[3],sum reported candidates for primary score; all candidates for unreported descriptive abundance
MODERATE__HOLD_R2_K125,HOLD_R2_K125,MODERATE,PA 18:0_22:0,0.013453508775804689,1.3521969784247243e-18,COMPUTED,True,True,True,True,0.3381799302246325,0.7789494468002593,0.6213615663357793,PA,0.44534403487199864,B3_U27_U48,48,spectral_easy_spatial_high,0.1769326765188834,0.1802495894909688,0.1769326765188834,0.1802495894909688,0.0,0.0,0.0,0.0,171,0.99072692293003,1.4538436095675817,125,R2,HOLD,[5],sum reported candidates for primary score; all candidates for unreported descriptive abundance
MODERATE__HOLD_R2_K125,HOLD_R2_K125,MODERATE,PA 18:0_22:1,0.014303605668713965,0.0,COMPUTED,True,False,False,False,0.3291126428847987,0.854010491337717,0.7758194394971382,PA,0.30184234544507127,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,R2,HOLD,[6],sum reported candidates for primary score; all candidates for unreported descriptive abundance
MODERATE__HOLD_R2_K125,HOLD_R2_K125,MODERATE,PA 18:0_22:2,0.0042659177299341445,1.3521969784247243e-18,COMPUTED,True,True,True,True,0.27393752390511106,0.8394493239810369,0.7712444256096473,PA,0.36260158405766385,B1_U95_U125,125,spectral_hard_spatial_low,0.7451149425287357,0.8009901477832513,0.7451149425287357,0.8009901477832513,0.0753246954491252,0.3018867924528302,0.08214312893707955,0.11319967071044161,102,-0.22838524714375422,0.6170676298438253,125,R2,HOLD,[7],sum reported candidates for primary score; all candidates for unreported descriptive abundance
MODERATE__HOLD_R2_K125,HOLD_R2_K125,MODERATE,PA 18:0_22:3,0.0016704004868979513,5.0940477842187345e-05,COMPUTED,True,False,False,False,0.26685411549166754,0.7994055605507371,0.7822770241404187,PA,0.35607658490927657,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,R2,HOLD,[8],sum reported candidates for primary score; all candidates for unreported descriptive abundance
MODERATE__HOLD_R2_K125,HOLD_R2_K125,MODERATE,PA 18:0_22:4,0.0047809960628341225,0.0,COMPUTED,True,True,True,True,0.18925162859522815,0.8691673191165914,0.8645836840369737,PA,0.31323723028330897,B2_U43_U133,133,spectral_hard_spatial_high,0.896121510673235,0.8493119868637111,0.8493119868637111,0.896121510673235,0.7986035117425145,0.41,0.7525372430626872,0.0,316,0.996582436906362,0.5,125,R2,HOLD,[9],sum reported candidates for primary score; all candidates for unreported descriptive abundance
MODERATE__HOLD_R2_K125,HOLD_R2_K125,MODERATE,PA 18:0_22:5,0.00011395001295576921,,NOT_COMPUTED,False,False,False,False,0.13936661280823676,0.9374908882297373,0.9345818680853585,PA,0.21638151697754526,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,R2,HOLD,[10],sum reported candidates for primary score; all candidates for unreported descriptive abundance
MODERATE__HOLD_R2_K125,HOLD_R2_K125,MODERATE,PA 18:0_24:0,5.917000129463489e-09,,NOT_COMPUTED,False,False,False,False,0.5363596171784565,0.7271532361366108,0.6313329291237251,PA,0.239152299302559,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,R2,HOLD,[11],sum reported candidates for primary score; all candidates for unreported descriptive abundance
MODERATE__HOLD_R2_K125,HOLD_R2_K125,MODERATE,PA 18:0_24:1,0.014364185201640962,2.550205124031902e-07,COMPUTED,True,True,True,True,0.3334734584306543,0.8793255202210899,0.8305304488322932,PA,0.22349976674487387,B2_U43_U133,43,spectral_hard_spatial_high,0.896121510673235,0.8493119868637111,0.8493119868637111,0.896121510673235,0.7986035117425145,0.41,0.7525372430626872,0.0,316,0.996582436906362,0.689110922829001,125,R2,HOLD,[12],sum reported candidates for primary score; all candidates for unreported descriptive abundance
MODERATE__HOLD_R2_K125,HOLD_R2_K125,MODERATE,PA 18:0_24:4,0.0036939146173689524,0.0,COMPUTED,True,False,False,False,0.19065424453428229,0.8372950741847822,0.832749852444057,PA,0.362995178164235,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,R2,HOLD,[13],sum reported candidates for primary score; all candidates for unreported descriptive abundance
