dataset_id,base_dataset_id,severity,candidate_index,candidate_id,lipid_name,X_hat,rho_zero,rho_zero_status,raw_solver_reported,candidate_truth,molecular_truth,reportable_truth,cone_isolation,max_fragment_cosine,max_full_cosine,lipid_class,collective_gain,pair_id,unit_id,role,spectral_score_CAL,spectral_score_HOLD,joint_hard_score,joint_easy_score,fragment_cosine,fragment_support_jaccard,full_cosine,parent_cosine,base_template_id,realized_spatial_correlation,abundance_multiplier,K,replicate,split
MODERATE__CAL_R5_K125,CAL_R5_K125,MODERATE,0,PA-H__0075,PA 16:0_24:0,0.015872665605949767,4.593270304774911e-05,COMPUTED,True,True,True,True,0.729606198131629,0.7748217721703936,0.44170172724713597,PA,0.16755576280234685,B2_U7_U22,7,spectral_easy_spatial_high,0.16836124794745483,0.15682101806239737,0.15682101806239737,0.16836124794745483,0.0,0.0,0.0,0.0,121,0.9865236566219531,2.0,125,R5,CAL
MODERATE__CAL_R5_K125,CAL_R5_K125,MODERATE,1,PA-H__0076,PA 16:0_24:1,0.0015761880069510117,0.0,COMPUTED,True,False,False,False,0.5504804076642431,0.883487638633687,0.6654546118919494,PA,0.19595790828137805,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,R5,CAL
MODERATE__CAL_R5_K125,CAL_R5_K125,MODERATE,2,PA-H__0079,PA 16:0_24:4,0.0001455410907049977,,NOT_COMPUTED,False,False,False,False,0.2223063465458067,0.9171280506076233,0.9158818256178151,PA,0.17914163452145218,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,R5,CAL
MODERATE__CAL_R5_K125,CAL_R5_K125,MODERATE,3,PA-H__0080,PA 16:0_24:5,3.129631999850199e-05,,NOT_COMPUTED,False,False,False,False,0.22923411741411742,0.9171280506076233,0.9158818256178151,PA,0.17221386365314145,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,R5,CAL
MODERATE__CAL_R5_K125,CAL_R5_K125,MODERATE,4,PA-H__0100,PA 24:0_16:1,0.0019805727815705113,0.0,COMPUTED,True,False,False,False,0.47172636833494863,0.7350890401757907,0.6635490105932277,PA,0.2764064477750978,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,R5,CAL
MODERATE__CAL_R5_K125,CAL_R5_K125,MODERATE,5,PA-H__0117,PA 18:0_22:0,0.007370745109767795,4.777757343108408e-06,COMPUTED,True,False,False,False,0.3381799302246325,0.7789494468002593,0.6213615663357793,PA,0.44534403487199864,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,R5,CAL
MODERATE__CAL_R5_K125,CAL_R5_K125,MODERATE,6,PA-H__0118,PA 18:0_22:1,0.01553526935492997,6.311893377485544e-05,COMPUTED,True,True,True,True,0.3291126428847987,0.854010491337717,0.7758194394971382,PA,0.30184234544507127,B5_U81_U105,105,spectral_hard_spatial_high,0.7206288998357964,0.7457405582922824,0.7206288998357964,0.7457405582922824,0.052767460600135624,0.16153846153846155,0.047451137602932195,0.0,290,0.9966220556977006,0.5,125,R5,CAL
MODERATE__CAL_R5_K125,CAL_R5_K125,MODERATE,7,PA-H__0119,PA 18:0_22:2,0.00013474418254483112,,NOT_COMPUTED,False,False,False,False,0.27393752390511106,0.8394493239810369,0.7712444256096473,PA,0.36260158405766385,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,R5,CAL
MODERATE__CAL_R5_K125,CAL_R5_K125,MODERATE,8,PA-H__0120,PA 18:0_22:3,0.00345965752222318,0.0,COMPUTED,True,True,True,True,0.26685411549166754,0.7994055605507371,0.7822770241404187,PA,0.35607658490927657,B1_U95_U125,125,spectral_hard_spatial_low,0.7451149425287357,0.8009901477832513,0.7451149425287357,0.8009901477832513,0.05022587307821144,0.0661764705882353,0.05302766559774588,0.11301892928657031,295,-0.14165705240466278,0.6170676298438253,125,R5,CAL
MODERATE__CAL_R5_K125,CAL_R5_K125,MODERATE,9,PA-H__0121,PA 18:0_22:4,0.006241144492479447,0.0,COMPUTED,True,False,False,False,0.18925162859522815,0.8691673191165914,0.8645836840369737,PA,0.31323723028330897,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,R5,CAL
MODERATE__CAL_R5_K125,CAL_R5_K125,MODERATE,10,PA-H__0122,PA 18:0_22:5,0.009841583066914477,0.0,COMPUTED,True,True,True,True,0.13936661280823676,0.9374908882297373,0.9345818680853585,PA,0.21638151697754526,B4_U64_U141,141,spectral_hard_spatial_high,0.7657668308702792,0.7451904761904762,0.7451904761904762,0.7657668308702792,0.07496740643032661,0.23423423423423423,0.07025785758396863,0.0,336,0.9958767175643264,0.5,125,R5,CAL
MODERATE__CAL_R5_K125,CAL_R5_K125,MODERATE,11,PA-H__0124,PA 18:0_24:0,0.007211993738403811,2.772094389088945e-05,COMPUTED,True,True,True,True,0.5363596171784565,0.7271532361366108,0.6313329291237251,PA,0.239152299302559,B3_U13_U90,13,spectral_hard_spatial_high,0.7239244663382594,0.6166551724137932,0.6166551724137932,0.7239244663382594,0.17572525850461496,0.11711711711711711,0.1511902006158474,0.0,246,0.9857917483350076,0.5,125,R5,CAL
MODERATE__CAL_R5_K125,CAL_R5_K125,MODERATE,12,PA-H__0125,PA 18:0_24:1,0.00027674978302184004,,NOT_COMPUTED,False,False,False,False,0.3334734584306543,0.8793255202210899,0.8305304488322932,PA,0.22349976674487387,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,R5,CAL
