dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero,cone_isolation,max_fragment_cosine,max_full_cosine,lipid_class,collective_gain,pair_id,unit_id,role,spectral_score_CAL,spectral_score_HOLD,joint_hard_score,joint_easy_score,fragment_cosine,fragment_support_jaccard,full_cosine,parent_cosine,base_template_id,realized_spatial_correlation,abundance_multiplier,K,base_dataset_id,severity,rho_zero_status,raw_solver_reported,reportable_truth
MODERATE__CAL_R2_K125,CAL,R2,K125,125,0,PA-H__0075,PA 16:0_24:0,0.02170847993573955,True,True,False,4.5932702113070395e-05,0.729606198131629,0.7748217721703936,0.44170172724713597,PA,0.16755576280234685,B2_U7_U22,7,spectral_easy_spatial_high,0.16836124794745483,0.15682101806239737,0.15682101806239737,0.16836124794745483,0.0,0.0,0.0,0.0,136,0.9833781955801629,2.0,125,CAL_R2_K125,MODERATE,COMPUTED,True,True
MODERATE__CAL_R2_K125,CAL,R2,K125,125,4,PA-H__0100,PA 24:0_16:1,0.001835479868789613,False,False,False,0.0,0.47172636833494863,0.7350890401757907,0.6635490105932277,PA,0.2764064477750978,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,CAL_R2_K125,MODERATE,COMPUTED,True,False
MODERATE__CAL_R2_K125,CAL,R2,K125,125,5,PA-H__0117,PA 18:0_22:0,0.003700908144161723,False,False,False,4.777757623973235e-06,0.3381799302246325,0.7789494468002593,0.6213615663357793,PA,0.44534403487199864,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,CAL_R2_K125,MODERATE,COMPUTED,True,False
MODERATE__CAL_R2_K125,CAL,R2,K125,125,6,PA-H__0118,PA 18:0_22:1,0.01294100638667751,True,True,False,6.311893508444202e-05,0.3291126428847987,0.854010491337717,0.7758194394971382,PA,0.30184234544507127,B5_U81_U105,105,spectral_hard_spatial_high,0.7206288998357964,0.7457405582922824,0.7206288998357964,0.7457405582922824,0.052767460600135624,0.16153846153846155,0.047451137602932195,0.0,247,0.9954161202958837,0.5,125,CAL_R2_K125,MODERATE,COMPUTED,True,True
MODERATE__CAL_R2_K125,CAL,R2,K125,125,7,PA-H__0119,PA 18:0_22:2,0.0017687131613531226,False,False,False,0.0,0.27393752390511106,0.8394493239810369,0.7712444256096473,PA,0.36260158405766385,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,CAL_R2_K125,MODERATE,COMPUTED,True,False
MODERATE__CAL_R2_K125,CAL,R2,K125,125,8,PA-H__0120,PA 18:0_22:3,0.0057612322443031,True,True,False,0.0,0.26685411549166754,0.7994055605507371,0.7822770241404187,PA,0.35607658490927657,B1_U95_U125,125,spectral_hard_spatial_low,0.7451149425287357,0.8009901477832513,0.7451149425287357,0.8009901477832513,0.05022587307821144,0.0661764705882353,0.05302766559774588,0.11301892928657031,102,-0.22838524714375422,0.6170676298438253,125,CAL_R2_K125,MODERATE,COMPUTED,True,True
MODERATE__CAL_R2_K125,CAL,R2,K125,125,9,PA-H__0121,PA 18:0_22:4,0.004732188687681869,False,False,False,0.0,0.18925162859522815,0.8691673191165914,0.8645836840369737,PA,0.31323723028330897,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,CAL_R2_K125,MODERATE,COMPUTED,True,False
MODERATE__CAL_R2_K125,CAL,R2,K125,125,10,PA-H__0122,PA 18:0_22:5,0.008021909453103595,True,True,False,0.0,0.13936661280823676,0.9374908882297373,0.9345818680853585,PA,0.21638151697754526,B4_U64_U141,141,spectral_hard_spatial_high,0.7657668308702792,0.7451904761904762,0.7451904761904762,0.7657668308702792,0.07496740643032661,0.23423423423423423,0.07025785758396863,0.0,223,0.9960356756974041,0.5,125,CAL_R2_K125,MODERATE,COMPUTED,True,True
MODERATE__CAL_R2_K125,CAL,R2,K125,125,11,PA-H__0124,PA 18:0_24:0,0.00827966409353225,True,True,False,2.7720943463738838e-05,0.5363596171784565,0.7271532361366108,0.6313329291237251,PA,0.239152299302559,B3_U13_U90,13,spectral_hard_spatial_high,0.7239244663382594,0.6166551724137932,0.6166551724137932,0.7239244663382594,0.17572525850461496,0.11711711711711711,0.1511902006158474,0.0,180,0.9962595110502747,0.5,125,CAL_R2_K125,MODERATE,COMPUTED,True,True
MODERATE__CAL_R2_K125,CAL,R2,K125,125,13,PA-H__0128,PA 18:0_24:4,0.001610457872532878,True,True,False,0.0,0.19065424453428229,0.8372950741847822,0.832749852444057,PA,0.362995178164235,B2_U23_U146,146,spectral_hard_spatial_low,0.6574581280788178,0.6583152709359607,0.6574581280788178,0.6583152709359607,0.04355266034180107,0.06944444444444445,0.043333667178812665,0.0,141,-0.4025547907021363,0.7303443264893795,125,CAL_R2_K125,MODERATE,COMPUTED,True,True
MODERATE__CAL_R2_K125,CAL,R2,K125,125,14,PA-H__0129,PA 18:0_24:5,0.0018816695580235474,False,False,False,0.0,0.1609179673339711,0.923167578011941,0.919680283971754,PA,0.23175005437601462,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,CAL_R2_K125,MODERATE,COMPUTED,True,False
MODERATE__CAL_R2_K125,CAL,R2,K125,125,16,PA-H__0140,PA 22:0_18:1,0.006877170029057688,True,True,False,1.0862038563443163e-05,0.3671639070922606,0.7050099452951126,0.6113032030767289,PA,0.42423257628894034,B4_U64_U141,64,spectral_hard_spatial_high,0.7657668308702792,0.7451904761904762,0.7451904761904762,0.7657668308702792,0.07496740643032661,0.23423423423423423,0.07025785758396863,0.0,223,0.9960356756974041,0.689110922829001,125,CAL_R2_K125,MODERATE,COMPUTED,True,True
MODERATE__CAL_R2_K125,CAL,R2,K125,125,18,PA-H__0142,PA 18:1_22:2,0.02972802136822496,True,True,False,1.4089480167652024e-08,0.40366716929733215,0.9248799886279087,0.7196223801768364,PA,0.2906984620156129,B2_U60_U84,84,spectral_hard_spatial_low,0.8323037766830871,0.8063054187192118,0.8063054187192118,0.8323037766830871,0.8432257966252498,0.7037037037037037,0.39242033148640376,0.11301891386763883,145,-0.2325639304394289,2.0,125,CAL_R2_K125,MODERATE,COMPUTED,True,True
MODERATE__CAL_R2_K125,CAL,R2,K125,125,19,PA-H__0143,PA 18:1_22:3,0.013356656482187423,False,False,False,4.6581316503862236e-05,0.26035456632127724,0.8639124793194024,0.8037028144235677,PA,0.33467634555443054,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,CAL_R2_K125,MODERATE,COMPUTED,True,False
MODERATE__CAL_R2_K125,CAL,R2,K125,125,20,PA-H__0144,PA 18:1_22:4,0.003630251352970333,False,False,False,0.0,0.23118051955905902,0.7349039762795926,0.7251473077432745,PA,0.45741325188581883,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,CAL_R2_K125,MODERATE,COMPUTED,True,False
MODERATE__CAL_R2_K125,CAL,R2,K125,125,23,PA-H__0151,PA 18:1_24:4,0.0025409888677794933,False,False,False,0.0,0.2590661626283403,0.770029563231097,0.7660750464750595,PA,0.383684973635327,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,CAL_R2_K125,MODERATE,COMPUTED,True,False
MODERATE__CAL_R2_K125,CAL,R2,K125,125,24,PA-H__0152,PA 18:1_24:5,0.004161042455557161,True,True,False,0.0,0.2403872498285696,0.8248123478924629,0.8214327614182942,PA,0.3299181231679643,,135,singleton_control,,,,,,,,,218,,0.5,125,CAL_R2_K125,MODERATE,COMPUTED,True,True
