target,lipid_name,truth_contexts,raw_solver_miss_contexts,filter_loss_contexts,retained_contexts
FDR5,PG 14:0_22:0,30,0,0,30
FDR5,PG 14:0_22:3,5,1,0,4
FDR5,PG 14:0_22:5,15,0,0,15
FDR5,PG 14:0_24:4,15,0,0,15
FDR5,PG 16:0_18:0,25,0,0,25
FDR5,PG 16:0_20:2,25,0,0,25
FDR5,PG 16:0_20:5,20,0,0,20
FDR5,PG 16:0_22:4,30,0,0,30
FDR5,PG 16:0_22:6,20,0,0,20
FDR5,PG 16:1_20:1,25,2,0,23
FDR5,PG 16:1_22:3,30,0,0,30
FDR5,PG 16:1_22:5,20,0,0,20
FDR5,PG 17:0_18:0,10,0,0,10
FDR5,PG 17:0_18:2,30,0,0,30
FDR5,PG 17:0_20:0,15,0,0,15
FDR5,PG 17:0_20:1,5,0,0,5
FDR5,PG 17:0_20:3,20,0,0,20
FDR5,PG 17:0_20:4,15,4,0,11
FDR5,PG 17:1_20:1,25,2,0,23
FDR5,PG 17:1_20:4,25,4,0,21
FDR5,PG 18:0_18:0,10,0,0,10
FDR5,PG 18:0_18:1,30,0,0,30
FDR5,PG 18:0_20:5,25,2,0,23
FDR5,PG 18:1_18:1,20,0,0,20
FDR5,PG 18:1_18:2,5,0,0,5
FDR5,PG 18:1_20:5,10,0,0,10
FDR5,PG 18:2_20:2,30,0,0,30
FDR5,PG 18:2_20:5,10,0,0,10
FDR5,PG 20:0_16:1,5,0,0,5
FDR5,PG 20:1_18:3,30,0,0,30
FDR5,PS 14:0_20:0,25,0,0,25
FDR5,PS 14:0_22:0,5,0,0,5
FDR5,PS 14:0_22:2,20,0,0,20
FDR5,PS 14:0_22:4,10,0,0,10
FDR5,PS 16:0_20:3,30,1,0,29
FDR5,PS 16:0_20:5,20,0,0,20
FDR5,PS 16:1_20:1,15,0,0,15
FDR5,PS 16:1_20:3,5,0,0,5
FDR5,PS 16:1_20:4,30,0,0,30
FDR5,PS 17:0_18:1,30,0,0,30
FDR5,PS 18:0_16:1,15,0,0,15
FDR5,PS 18:0_17:1,10,0,0,10
FDR5,PS 18:0_18:0,20,0,0,20
FDR5,PS 18:0_18:3,30,0,0,30
FDR5,PS 18:1_18:3,30,0,0,30
FDR5,PS 20:0_16:1,25,0,0,25
FDR1,PA 16:0_24:1,20,0,0,20
FDR1,PA 16:0_24:4,5,0,0,5
FDR1,PA 18:0_22:0,25,0,0,25
FDR1,PA 18:0_22:2,30,4,0,26
FDR1,PA 18:0_22:4,30,0,0,30
FDR1,PA 18:0_24:1,30,0,0,30
FDR1,PA 18:0_24:5,20,10,0,10
FDR1,PA 18:0_24:6,10,0,0,10
FDR1,PA 18:1_22:1,30,0,0,30
FDR1,PA 18:1_22:3,25,0,0,25
FDR1,PA 18:1_22:4,25,0,0,25
FDR1,PA 18:1_24:1,10,0,0,10
FDR1,PA 18:1_24:4,15,0,0,15
FDR1,PA 18:1_24:6,10,0,0,10
FDR1,PA 18:2_24:4,10,0,0,10
FDR1,PA 18:2_24:5,10,0,0,10
FDR1,PA 20:0_20:2,5,3,0,2
FDR1,PA 20:0_20:3,15,0,0,15
FDR1,PA 20:0_20:4,30,12,0,18
FDR1,PA 20:0_22:1,20,0,0,20
FDR1,PA 20:0_22:4,25,0,0,25
FDR1,PA 20:0_22:6,5,0,0,5
FDR1,PA 20:1_20:1,30,1,0,29
FDR1,PA 20:1_22:1,30,0,0,30
FDR1,PA 20:1_22:3,20,0,0,20
FDR1,PA 20:1_22:5,5,0,0,5
FDR1,PA 20:1_22:6,15,0,0,15
FDR1,PA 20:3_22:4,10,0,0,10
FDR1,PA 20:4_22:4,25,0,0,25
FDR1,PA 22:0_18:2,5,0,0,5
FDR1,PA 22:0_20:1,20,0,0,20
FDR1,PA 22:0_20:3,5,0,0,5
FDR1,PA 22:0_20:4,15,0,0,15
FDR1,PA 22:1_18:2,30,0,0,30
FDR1,PA 22:1_20:2,30,0,0,30
FDR1,PA 22:1_20:3,30,0,0,30
FDR1,PA 22:1_20:5,15,0,0,15
FDR1,PA 22:5_22:5,15,0,0,15
FDR1,PA 22:6_22:6,30,0,0,30
FDR1,PA 24:1_18:2,25,0,0,25
FDR1,PC 14:0_20:2,10,0,0,10
FDR1,PC 14:0_20:4,30,0,0,30
FDR1,PC 14:1_20:1,15,0,0,15
FDR1,PC 16:0_18:0,25,0,0,25
FDR1,PC 16:0_18:1,15,0,0,15
FDR1,PC 16:0_18:2,5,0,0,5
FDR1,PC 16:1_18:1,30,0,0,30
FDR1,PC 16:1_18:2,20,0,0,20
FDR1,PC 20:0_14:1,30,0,0,30
FDR1,PC O-16:0_17:0,5,0,0,5
FDR1,PC O-16:1_18:1,10,0,0,10
FDR1,PE 16:0_22:1,30,0,0,30
FDR1,PE 16:0_22:2,30,0,0,30
FDR1,PE 16:0_22:4,5,0,0,5
FDR1,PE 16:0_24:5,30,1,0,29
FDR1,PE 16:0_24:6,15,0,0,15
FDR1,PE 16:1_22:1,30,0,0,30
FDR1,PE 16:1_22:3,10,0,0,10
FDR1,PE 16:1_22:4,30,9,0,21
FDR1,PE 16:1_22:6,10,0,0,10
FDR1,PE 17:0_20:0,30,1,0,29
FDR1,PE 17:0_22:2,5,0,0,5
FDR1,PE 17:0_22:4,20,0,0,20
FDR1,PE 17:0_22:5,25,0,0,25
FDR1,PE 17:0_22:6,30,0,0,30
FDR1,PE 17:1_20:1,20,0,0,20
FDR1,PE 17:1_20:3,25,0,0,25
FDR1,PE 17:1_22:5,15,0,0,15
FDR1,PE 17:1_22:6,15,0,0,15
FDR1,PE 18:0_20:1,5,0,0,5
FDR1,PE 18:0_20:3,20,8,0,12
FDR1,PE 18:0_20:5,25,0,0,25
FDR1,PE 18:1_20:2,15,2,0,13
FDR1,PE 18:1_20:5,10,0,0,10
FDR1,PE 18:1_22:2,10,0,0,10
FDR1,PE 18:1_22:3,15,4,0,11
FDR1,PE 18:1_22:4,5,0,0,5
FDR1,PE 18:1_22:5,10,0,0,10
FDR1,PE 18:1_22:6,10,0,0,10
FDR1,PE 18:2_20:2,15,0,0,15
FDR1,PE 18:2_22:2,10,0,0,10
FDR1,PE 18:3_20:4,30,9,0,21
FDR1,PE 20:0_20:3,25,2,0,23
FDR1,PE 20:0_20:5,5,0,0,5
FDR1,PE 20:1_18:2,15,0,0,15
FDR1,PE 20:1_20:3,30,0,0,30
FDR1,PE 20:1_20:4,25,5,0,20
FDR1,PE 20:1_20:5,25,0,0,25
FDR1,PE 20:2_20:3,5,3,0,2
FDR1,PE 20:3_20:3,30,0,0,30
FDR1,PE 20:4_20:5,20,0,0,20
FDR1,PE 22:0_16:1,30,0,0,30
FDR1,PE O-16:0_22:1,5,0,0,5
FDR1,PE O-16:0_22:4,30,0,0,30
FDR1,PE O-16:0_22:5,30,0,0,30
FDR1,PE O-16:0_22:6,10,0,0,10
FDR1,PE O-16:1_22:1,5,0,0,5
FDR1,PE O-16:1_22:3,10,0,0,10
FDR1,PE O-16:1_24:0,30,0,0,30
FDR1,PE O-16:1_24:5,30,0,0,30
FDR1,PE O-16:1_24:6,10,0,0,10
FDR1,PE O-18:0_20:1,20,0,0,20
FDR1,PE O-18:0_20:2,30,4,0,26
FDR1,PE O-18:0_20:5,20,0,0,20
FDR1,PE O-18:0_22:3,30,6,0,24
FDR1,PE O-18:0_22:4,20,0,0,20
FDR1,PE O-18:0_22:5,5,0,0,5
FDR1,PE O-18:0_22:6,20,0,0,20
FDR1,PE O-18:1_20:2,5,1,0,4
FDR1,PE O-18:1_20:3,30,8,0,22
FDR1,PE O-18:1_20:5,25,0,0,25
FDR1,PE O-18:2_20:3,20,0,0,20
FDR1,PE O-18:2_22:3,25,1,0,24
FDR1,PE O-18:2_22:4,15,3,0,12
FDR1,PE O-18:2_22:5,15,0,0,15
FDR1,PE O-18:3_20:3,30,0,0,30
FDR1,PE O-18:3_22:3,20,0,0,20
FDR1,PE O-18:3_22:5,30,0,0,30
FDR1,PE O-20:0_20:2,20,2,0,18
FDR1,PE O-20:0_20:4,25,0,0,25
FDR1,PE O-20:1_18:2,30,0,0,30
FDR1,PE O-20:1_20:1,5,0,0,5
FDR1,PE O-20:1_20:2,25,0,0,25
FDR1,PE O-20:1_20:3,15,0,0,15
FDR1,PE O-20:2_20:3,10,7,0,3
FDR1,PE O-20:3_20:3,15,0,0,15
FDR1,PE O-20:3_20:4,30,0,0,30
FDR1,PE O-22:1_18:2,30,0,0,30
FDR1,PG 14:0_20:0,30,0,0,30
FDR1,PG 14:0_22:0,30,0,0,30
FDR1,PG 14:0_22:3,5,1,0,4
FDR1,PG 14:0_22:5,15,0,0,15
FDR1,PG 14:0_24:4,15,0,0,15
FDR1,PG 16:0_18:0,25,0,0,25
FDR1,PG 16:0_20:2,25,0,0,25
FDR1,PG 16:0_20:5,20,0,0,20
FDR1,PG 16:0_22:4,30,0,0,30
FDR1,PG 16:0_22:6,20,0,0,20
FDR1,PG 16:1_20:1,25,2,0,23
FDR1,PG 16:1_22:3,30,0,0,30
FDR1,PG 16:1_22:5,20,0,0,20
FDR1,PG 17:0_18:0,10,0,0,10
FDR1,PG 17:0_18:2,30,0,0,30
FDR1,PG 17:0_20:0,15,0,0,15
FDR1,PG 17:0_20:1,5,0,0,5
FDR1,PG 17:0_20:3,20,0,0,20
FDR1,PG 17:0_20:4,15,4,0,11
FDR1,PG 17:1_20:1,25,2,0,23
FDR1,PG 17:1_20:4,25,4,0,21
