dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero
CAL_R1_BASE76,CAL,R1,BASE76,76,2,PA-H__0079,PA 16:0_24:4,0.003770927114025643,False,False,False,8.019089897631847e-28
CAL_R1_BASE76,CAL,R1,BASE76,76,3,PA-H__0080,PA 16:0_24:5,0.0012508085999425433,True,True,False,6.08407362920403e-09
CAL_R1_BASE76,CAL,R1,BASE76,76,5,PA-H__0117,PA 18:0_22:0,0.01104407080631515,True,True,False,2.1678889709732667e-05
CAL_R1_BASE76,CAL,R1,BASE76,76,17,PA-H__0141,PA 18:1_22:1,0.008890569253375955,False,False,False,0.0
CAL_R1_BASE76,CAL,R1,BASE76,76,19,PA-H__0143,PA 18:1_22:3,0.0011357667670624085,True,True,False,5.880681961489711e-07
CAL_R1_BASE76,CAL,R1,BASE76,76,23,PA-H__0151,PA 18:1_24:4,0.003476570631232348,True,True,False,3.6021201015042925e-07
CAL_R1_BASE76,CAL,R1,BASE76,76,25,PA-H__0153,PA 18:1_24:6,0.002762574738618095,False,False,False,7.469333978253159e-24
CAL_R1_BASE76,CAL,R1,BASE76,76,26,PA-H__0162,PA 22:0_18:2,0.0021411573843381332,False,False,False,0.0
CAL_R1_BASE76,CAL,R1,BASE76,76,35,PA-H__0197,PA 20:0_20:0,0.016933757169220767,True,True,False,9.466582062103826e-06
CAL_R1_BASE76,CAL,R1,BASE76,76,36,PA-H__0198,PA 20:0_20:1,0.0025461933475656013,True,True,False,1.4889608437270114e-07
CAL_R1_BASE76,CAL,R1,BASE76,76,37,PA-H__0199,PA 20:0_20:2,0.039714382564996285,True,True,False,4.398983113635418e-05
CAL_R1_BASE76,CAL,R1,BASE76,76,39,PA-H__0201,PA 20:0_20:4,0.0035763469614142262,False,False,False,1.092134558768206e-20
CAL_R1_BASE76,CAL,R1,BASE76,76,40,PA-H__0202,PA 20:0_20:5,0.005308675970543983,False,False,False,0.0
CAL_R1_BASE76,CAL,R1,BASE76,76,46,PA-H__0209,PA 20:0_22:6,0.006747056375356364,False,False,False,0.0
CAL_R1_BASE76,CAL,R1,BASE76,76,47,PA-H__0217,PA 20:1_20:1,0.008175983208557308,False,False,False,7.5580160955504435e-22
CAL_R1_BASE76,CAL,R1,BASE76,76,49,PA-H__0219,PA 20:1_20:3,0.0015523457114532987,True,True,False,5.925084827826146e-08
CAL_R1_BASE76,CAL,R1,BASE76,76,54,PA-H__0225,PA 20:1_22:3,0.0010936639684256727,False,False,False,1.0461239023235413e-27
CAL_R1_BASE76,CAL,R1,BASE76,76,55,PA-H__0226,PA 20:1_22:4,0.0010585440652908886,True,True,False,8.025457154481633e-08
CAL_R1_BASE76,CAL,R1,BASE76,76,56,PA-H__0227,PA 20:1_22:5,0.014020692685851875,False,False,False,0.0
CAL_R1_BASE76,CAL,R1,BASE76,76,57,PA-H__0228,PA 20:1_22:6,0.026572759846303508,True,True,False,0.00012031321236432216
CAL_R1_BASE76,CAL,R1,BASE76,76,62,PA-H__0246,PA 20:2_22:6,0.0030545632493082,False,False,False,0.0
